title,address,price,duzenle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month","99 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month","65 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Hermonlaan 64,3061 BH Rotterdam (Kralingen West),"€2,000 per month","80 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Hermonlaan 35,3061 BH Rotterdam (Kralingen West),"€1,495 per month","75 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Willem de Zwijgerstraat 27 A,3043 VB Rotterdam (Overschie),"€1,100 per month","75 m²
3 rooms
1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment 's-Gravendijkwal,3014 EC Rotterdam (Oude Westen),€800 per month,"34 m²
1 room
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Parallelstraat,3043 GK Rotterdam (Overschie),"€1,400 per month","75 m²
3 rooms
1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Plein 1953,3086 EM Rotterdam (Pendrecht),"€1,345 per month","88 m²
2 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Crooswijksesingel,3034 CH Rotterdam (Rubroek),"€1,548 per month","76 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment 's-Gravendijkwal 39 b,3021 EC Rotterdam (Middelland),"€2,250 per month","77 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Oldenbarneveltstraat 152 C02,3012 GX Rotterdam (Cool),"€1,200 per month","65 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Bentincklaan 49 C,3039 KH Rotterdam (Blijdorp),"€1,750 per month","110 m²
4 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Zegenstraat,3082 XW Rotterdam (Oud Charlois),"€1,050 per month","90 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Walenburgerweg,3033 AJ Rotterdam (Provenierswijk),"€1,695 per month","97 m²
5 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Maaskade,3071 NH Rotterdam (Noordereiland),"€1,095 per month","60 m²
2 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Pleinweg,3083 EH Rotterdam (Carnisse),"€1,195 per month","87 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Jacob Catsstraat,3035 PS Rotterdam (Oude Noorden),€790 per month,"45 m²
1 room
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Mathenesserdijk 109 B 04,3027 BE Rotterdam (Spangen),€825 per month,"50 m²
4 rooms
1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van der Horststraat,3039 VJ Rotterdam (Blijdorp),"€1,295 per month","63 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Samuel Soesmanstraat,3015 GL Rotterdam (Dijkzigt),"€1,795 per month","59 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Pompenburg 220,3032 EM Rotterdam (Oude Noorden),"€1,400 per month","62 m²
3 rooms
Shell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Schinkelstraat,3061 MN Rotterdam (Kralingen West),"€2,000 per month","90 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Gedempte Zalmhaven 749,3011 BT Rotterdam (Stadsdriehoek),"€2,450 per month","96 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Mecklenburgplein 6 *,3062 BL Rotterdam (Kralingen Oost),"€3,995 per month","260 m²
8 rooms
140 m²",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Karel Doormanstraat,3012 GH Rotterdam (Cool),"€1,745 per month","80 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€2,350 per month","104 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Stationssingel,3033 HD Rotterdam (Provenierswijk),"€1,750 per month","94 m²
4 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Bergselaan,3038 CT Rotterdam (Bergpolder),"€1,395 per month","72 m²
4 rooms
Upholstered or furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Maaskade 28 D,3071 NB Rotterdam (Noordereiland),"€1,450 per month","70 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Schiedamseweg,3026 AG Rotterdam (Tussendijken),"€1,600 per month","50 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Wierdsmaplein,3072 MJ Rotterdam (Kop van Zuid),"€5,500 per month","170 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Henegouwerlaan 43 C1,3021 CR Rotterdam (Middelland),"€1,450 per month","62 m²
3 rooms
Upholstered or furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apartment Stationssingel,Apartment Oostmaaslaan,Apartment Hermonlaan 64,Apartment Hermonlaan 35,Apartment Willem de Zwijgerstraat 27 A,Apartment 's-Gravendijkwal,Apartment Parallelstraat,Apartment Plein 1953,Apartment Crooswijksesingel,Apartment 's-Gravendijkwal 39 b,Apartment Van Oldenbarneveltstraat 152 C02,Apartment Bentincklaan 49 C,Apartment Zegenstraat,Apartment Walenburgerweg,Apartment Maaskade,Apartment Pleinweg,Apartment Jacob Catsstraat,Apartment Mathenesserdijk 109 B 04,Apartment Van der Horststraat,Apartment Samuel Soesmanstraat,Apartment Pompenburg 220,Apartment Schinkelstraat,Apartment Gedempte Zalmhaven 749,House Mecklenburgplein 6 *,Apartment Karel Doormanstraat,Apartment Van Vollenhovenstraat,Apartment Stationssingel,Apartment Bergselaan,Apartment Maaskade 28 D,Apartment Schiedamseweg,Apartment Wierdsmaplein,Apartment Henegouwerlaan 43 C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3033 HE Rotterdam (Provenierswijk),3063 AN Rotterdam (Struisenburg),3061 BH Rotterdam (Kralingen West),3061 BH Rotterdam (Kralingen West),3043 VB Rotterdam (Overschie),3014 EC Rotterdam (Oude Westen),3043 GK Rotterdam (Overschie),3086 EM Rotterdam (Pendrecht),3034 CH Rotterdam (Rubroek),3021 EC Rotterdam (Middelland),3012 GX Rotterdam (Cool),3039 KH Rotterdam (Blijdorp),3082 XW Rotterdam (Oud Charlois),3033 AJ Rotterdam (Provenierswijk),3071 NH Rotterdam (Noordereiland),3083 EH Rotterdam (Carnisse),3035 PS Rotterdam (Oude Noorden),3027 BE Rotterdam (Spangen),3039 VJ Rotterdam (Blijdorp),3015 GL Rotterdam (Dijkzigt),3032 EM Rotterdam (Oude Noorden),3061 MN Rotterdam (Kralingen West),3011 BT Rotterdam (Stadsdriehoek),3062 BL Rotterdam (Kralingen Oost),3012 GH Rotterdam (Cool),3016 BE Rotterdam (Nieuwe Werk),3033 HD Rotterdam (Provenierswijk),3038 CT Rotterdam (Bergpolder),3071 NB Rotterdam (Noordereiland),3026 AG Rotterdam (Tussendijken),3072 MJ Rotterdam (Kop van Zuid),3021 CR Rotterdam (Middelland),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"€1,595 per month","€1,450 per month","€2,000 per month","€1,495 per month","€1,100 per month",€800 per month,"€1,400 per month","€1,345 per month","€1,548 per month","€2,250 per month","€1,200 per month","€1,750 per month","€1,050 per month","€1,695 per month","€1,095 per month","€1,195 per month",€790 per month,€825 per month,"€1,295 per month","€1,795 per month","€1,400 per month","€2,000 per month","€2,450 per month","€3,995 per month","€1,745 per month","€2,350 per month","€1,750 per month","€1,395 per month","€1,450 per month","€1,600 per month","€5,500 per month","€1,450 per month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"99 m²
3 rooms
Upholstered","65 m²
3 rooms
Furnished","80 m²
3 rooms
Furnished","75 m²
3 rooms
Upholstered","75 m²
3 rooms
1929","34 m²
1 room
Upholstered","75 m²
3 rooms
1929","88 m²
2 rooms
Upholstered","76 m²
2 rooms
Furnished","77 m²
3 rooms
Furnished","65 m²
2 rooms
Furnished","110 m²
4 rooms
Furnished","90 m²
3 rooms
Upholstered","97 m²
5 rooms
Upholstered","60 m²
2 rooms
Upholstered","87 m²
3 rooms
Upholstered","45 m²
1 room
Upholstered","50 m²
4 rooms
1925","63 m²
2 rooms
Furnished","59 m²
2 rooms
Furnished","62 m²
3 rooms
Shell","90 m²
3 rooms
Furnished","96 m²
3 rooms
Upholstered","260 m²
8 rooms
140 m²","80 m²
2 rooms
Furnished","104 m²
3 rooms
Furnished","94 m²
4 rooms
Furnished","72 m²
4 rooms
Upholstered or furnished","70 m²
3 rooms
Upholstered","50 m²
3 rooms
Furnished","170 m²
3 rooms
Furnished","62 m²
3 rooms
Upholstered or furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apartment Stationssingel,Apartment Oostmaaslaan,Apartment Hermonlaan 64,Apartment Hermonlaan 35,Apartment Willem de Zwijgerstraat 27 A,Apartment 's-Gravendijkwal,Apartment Parallelstraat,Apartment Plein 1953,Apartment Crooswijksesingel,Apartment 's-Gravendijkwal 39 b,Apartment Van Oldenbarneveltstraat 152 C02,Apartment Bentincklaan 49 C,Apartment Zegenstraat,Apartment Walenburgerweg,Apartment Maaskade,Apartment Pleinweg,Apartment Jacob Catsstraat,Apartment Mathenesserdijk 109 B 04,Apartment Van der Horststraat,Apartment Samuel Soesmanstraat,Apartment Pompenburg 220,Apartment Schinkelstraat,Apartment Gedempte Zalmhaven 749,House Mecklenburgplein 6 *,Apartment Karel Doormanstraat,Apartment Van Vollenhovenstraat,Apartment Stationssingel,Apartment Bergselaan,Apartment Maaskade 28 D,Apartment Schiedamseweg,Apartment Wierdsmaplein,Apartment Henegouwerlaan 43 C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3033 HE Rotterdam (Provenierswijk),3063 AN Rotterdam (Struisenburg),3061 BH Rotterdam (Kralingen West),3061 BH Rotterdam (Kralingen West),3043 VB Rotterdam (Overschie),3014 EC Rotterdam (Oude Westen),3043 GK Rotterdam (Overschie),3086 EM Rotterdam (Pendrecht),3034 CH Rotterdam (Rubroek),3021 EC Rotterdam (Middelland),3012 GX Rotterdam (Cool),3039 KH Rotterdam (Blijdorp),3082 XW Rotterdam (Oud Charlois),3033 AJ Rotterdam (Provenierswijk),3071 NH Rotterdam (Noordereiland),3083 EH Rotterdam (Carnisse),3035 PS Rotterdam (Oude Noorden),3027 BE Rotterdam (Spangen),3039 VJ Rotterdam (Blijdorp),3015 GL Rotterdam (Dijkzigt),3032 EM Rotterdam (Oude Noorden),3061 MN Rotterdam (Kralingen West),3011 BT Rotterdam (Stadsdriehoek),3062 BL Rotterdam (Kralingen Oost),3012 GH Rotterdam (Cool),3016 BE Rotterdam (Nieuwe Werk),3033 HD Rotterdam (Provenierswijk),3038 CT Rotterdam (Bergpolder),3071 NB Rotterdam (Noordereiland),3026 AG Rotterdam (Tussendijken),3072 MJ Rotterdam (Kop van Zuid),3021 CR Rotterdam (Middelland),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"€1,595 per month","€1,450 per month","€2,000 per month","€1,495 per month","€1,100 per month",€800 per month,"€1,400 per month","€1,345 per month","€1,548 per month","€2,250 per month","€1,200 per month","€1,750 per month","€1,050 per month","€1,695 per month","€1,095 per month","€1,195 per month",€790 per month,€825 per month,"€1,295 per month","€1,795 per month","€1,400 per month","€2,000 per month","€2,450 per month","€3,995 per month","€1,745 per month","€2,350 per month","€1,750 per month","€1,395 per month","€1,450 per month","€1,600 per month","€5,500 per month","€1,450 per month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"99 m²
3 rooms
Upholstered","65 m²
3 rooms
Furnished","80 m²
3 rooms
Furnished","75 m²
3 rooms
Upholstered","75 m²
3 rooms
1929","34 m²
1 room
Upholstered","75 m²
3 rooms
1929","88 m²
2 rooms
Upholstered","76 m²
2 rooms
Furnished","77 m²
3 rooms
Furnished","65 m²
2 rooms
Furnished","110 m²
4 rooms
Furnished","90 m²
3 rooms
Upholstered","97 m²
5 rooms
Upholstered","60 m²
2 rooms
Upholstered","87 m²
3 rooms
Upholstered","45 m²
1 room
Upholstered","50 m²
4 rooms
1925","63 m²
2 rooms
Furnished","59 m²
2 rooms
Furnished","62 m²
3 rooms
Shell","90 m²
3 rooms
Furnished","96 m²
3 rooms
Upholstered","260 m²
8 rooms
140 m²","80 m²
2 rooms
Furnished","104 m²
3 rooms
Furnished","94 m²
4 rooms
Furnished","72 m²
4 rooms
Upholstered or furnished","70 m²
3 rooms
Upholstered","50 m²
3 rooms
Furnished","170 m²
3 rooms
Furnished","62 m²
3 rooms
Upholstered or furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month","99 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month","65 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Hermonlaan 64,3061 BH Rotterdam (Kralingen West),"€2,000 per month","80 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Hermonlaan 35,3061 BH Rotterdam (Kralingen West),"€1,495 per month","75 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Willem de Zwijgerstraat 27 A,3043 VB Rotterdam (Overschie),"€1,100 per month","75 m²
3 rooms
1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment 's-Gravendijkwal,3014 EC Rotterdam (Oude Westen),€800 per month,"34 m²
1 room
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Parallelstraat,3043 GK Rotterdam (Overschie),"€1,400 per month","75 m²
3 rooms
1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Plein 1953,3086 EM Rotterdam (Pendrecht),"€1,345 per month","88 m²
2 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Crooswijksesingel,3034 CH Rotterdam (Rubroek),"€1,548 per month","76 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment 's-Gravendijkwal 39 b,3021 EC Rotterdam (Middelland),"€2,250 per month","77 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Van Oldenbarneveltstraat 152 C02,3012 GX Rotterdam (Cool),"€1,200 per month","65 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Bentincklaan 49 C,3039 KH Rotterdam (Blijdorp),"€1,750 per month","110 m²
4 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Zegenstraat,3082 XW Rotterdam (Oud Charlois),"€1,050 per month","90 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Walenburgerweg,3033 AJ Rotterdam (Provenierswijk),"€1,695 per month","97 m²
5 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Maaskade,3071 NH Rotterdam (Noordereiland),"€1,095 per month","60 m²
2 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Pleinweg,3083 EH Rotterdam (Carnisse),"€1,195 per month","87 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Jacob Catsstraat,3035 PS Rotterdam (Oude Noorden),€790 per month,"45 m²
1 room
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Mathenesserdijk 109 B 04,3027 BE Rotterdam (Spangen),€825 per month,"50 m²
4 rooms
1925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Van der Horststraat,3039 VJ Rotterdam (Blijdorp),"€1,295 per month","63 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Samuel Soesmanstraat,3015 GL Rotterdam (Dijkzigt),"€1,795 per month","59 m²
2 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Pompenburg 220,3032 EM Rotterdam (Oude Noorden),"€1,400 per month","62 m²
3 rooms
Shell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Schinkelstraat,3061 MN Rotterdam (Kralingen West),"€2,000 per month","90 m²
3 rooms
Furnished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apartment Gedempte Zalmhaven 749,3011 BT Rotterdam (Stadsdriehoek),"€2,450 per month","96 m²
3 rooms
Upholstered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House Mecklenburgplein 6 *,3062 BL Rotterdam (Kralingen Oost),"€3,995 per month","260 m²
8 rooms
140 m²",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
